Date,Tm,X,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player,RSorPO
1996-11-08,LAL,Away,TOR,L,0,17:00,3,8,0.38,2,3,0.67,2,4,0.5,0,3,3,0,0,1,0,3,10,5.2,Kobe Bryant,Regular Season
1996-11-13,LAL,Away,SAS,L,0,6:00,2,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2,6,5.6,Kobe Bryant,Regular Season
1996-11-15,LAL,Home,LAC,W,0,7:00,1,4,0.25,0,2,0,2,3,0.67,0,0,0,0,0,0,1,4,4,-1.4,Kobe Bryant,Regular Season
1996-11-17,LAL,Away,PHO,W,0,14:00,5,8,0.62,4,6,0.67,2,2,1,2,0,2,2,0,0,4,2,16,10.4,Kobe Bryant,Regular Season
1996-11-19,LAL,Away,GSW,W,0,8:00,0,2,0,0,1,0,3,4,0.75,0,2,2,1,0,0,1,2,3,0.7,Kobe Bryant,Regular Season
1996-11-26,LAL,Away,PHI,W,0,21:00,4,10,0.4,2,5,0.4,2,2,1,0,1,1,1,0,0,3,1,12,4.2,Kobe Bryant,Regular Season
1996-12-08,LAL,Home,MIN,W,0,22:00,3,10,0.3,0,3,0,5,6,0.83,2,1,3,3,2,2,3,2,11,8.2,Kobe Bryant,Regular Season
1996-12-17,LAL,Away,CHI,L,0,10:00,2,5,0.4,1,2,0.5,0,2,0,0,1,1,0,0,1,0,1,5,2.1,Kobe Bryant,Regular Season
1997-01-03,LAL,Home,SAC,W,0,22:00,6,10,0.6,0,2,0,9,10,0.9,2,3,5,1,2,2,0,1,21,22,Kobe Bryant,Regular Season
1997-01-05,LAL,Away,VAN,W,0,29:00,6,9,0.67,1,1,1,3,4,0.75,3,2,5,3,1,0,2,3,16,14.3,Kobe Bryant,Regular Season
1997-01-06,LAL,Away,POR,L,0,23:00,3,9,0.33,1,3,0.33,1,2,0.5,0,2,2,2,2,0,2,3,8,3.3,Kobe Bryant,Regular Season
1997-01-08,LAL,Home,CHH,W,0,22:00,4,13,0.31,0,2,0,1,2,0.5,1,0,1,2,2,1,2,2,9,3.1,Kobe Bryant,Regular Season
1997-01-18,LAL,Home,DET,L,0,32:00,8,13,0.62,3,5,0.6,2,2,1,0,2,2,5,1,0,4,1,21,15.8,Kobe Bryant,Regular Season
1997-01-24,LAL,Home,GSW,W,0,25:00,4,8,0.5,1,4,0.25,8,8,1,3,3,6,4,1,0,3,2,17,16,Kobe Bryant,Regular Season
1997-01-28,LAL,Away,DAL,W,1,32:00,5,11,0.45,0,3,0,2,3,0.67,1,2,3,2,2,1,3,1,12,7.9,Kobe Bryant,Regular Season
1997-01-29,LAL,Away,SAS,W,1,30:00,6,12,0.5,3,7,0.43,4,4,1,1,3,4,0,2,2,3,2,19,14.2,Kobe Bryant,Regular Season
1997-02-02,LAL,Home,WSB,W,0,24:00,2,9,0.22,0,1,0,9,9,1,0,3,3,3,0,0,1,0,13,9.5,Kobe Bryant,Regular Season
1997-02-04,LAL,Away,LAC,L,0,23:00,2,10,0.2,0,2,0,2,2,1,1,2,3,0,2,0,2,2,6,0.3,Kobe Bryant,Regular Season
1997-02-19,LAL,Home,CLE,L,1,23:00,3,7,0.43,2,4,0.5,2,2,1,0,2,2,0,0,2,1,3,10,6.1,Kobe Bryant,Regular Season
1997-03-02,LAL,Away,IND,L,0,22:00,4,9,0.44,0,1,0,2,2,1,1,0,1,1,0,0,1,1,10,5.3,Kobe Bryant,Regular Season
1997-03-07,LAL,Home,HOU,L,0,17:00,3,10,0.3,0,4,0,2,2,1,0,1,1,1,1,0,1,1,8,2.8,Kobe Bryant,Regular Season
