Name,Team,Position,Age,Foot,Weight,College,Salary,Inches,Height_CM
Juhann Begarin,Boston Celtics,SG,19,6,185,Abroad,0,5,195.58
Jaylen Brown,Boston Celtics,SG,24,6,223,California,26758928,6,198.12
Kris Dunn,Boston Celtics,PG,27,6,205,Providence,5005350,3,190.5
Carsen Edwards,Boston Celtics,PG,23,5,200,Purdue,1782621,11,180.34
Tacko Fall,Boston Celtics,C,25,7,311,UCF,0,5,226.06
Bruno Fernando,Boston Celtics,F,23,6,240,Maryland,1782621,9,205.74
Al Horford,Boston Celtics,C,35,6,240,Florida,27000000,9,205.74
Enes Kanter,Boston Celtics,C,29,6,250,Kentucky,1669178,10,208.28
Luke Kornet,Boston Celtics,C,26,7,250,Vanderbilt,0,2,218.44
Romeo Langford,Boston Celtics,SG,21,6,216,Indiana,3804360,4,193.04
Aaron Nesmith,Boston Celtics,SF,21,6,215,Vanderbilt,3631200,5,195.58
Jabari Parker,Boston Celtics,PF,26,6,245,Duke,2283034,8,203.2
Payton Pritchard,Boston Celtics,PG,23,6,195,Oregon,2137440,1,185.42
Josh Richardson,Boston Celtics,SG,27,6,200,Tennessee,11615328,5,195.58
Dennis Schroder,Boston Celtics,PG,27,6,172,Abroad,5890000,3,190.5
Marcus Smart,Boston Celtics,PG,27,6,220,Oklahoma State,14339285,3,190.5
Jayson Tatum,Boston Celtics,SF,23,6,210,Duke,28103500,8,203.2
Grant Williams,Boston Celtics,PF,22,6,236,Tennessee,2617800,6,198.12
Robert Williams III,Boston Celtics,C,23,6,237,Texas A&M,3661976,8,203.2
LaMarcus Aldridge,Brooklyn Nets,F,36,6,250,Texas,0,11,210.82
DeAndre' Bembry,Brooklyn Nets,SG,27,6,210,Saint Joseph's,1669178,5,195.58
Bruce Brown,Brooklyn Nets,SF,25,6,202,Miami (FL),4736102,4,193.04
Jevon Carter,Brooklyn Nets,PG,25,6,200,West Virginia,3650000,1,185.42
Nicolas Claxton,Brooklyn Nets,PF,22,6,215,Georgia,1782621,11,210.82
Sekou Doumbouya,Brooklyn Nets,SF,20,6,230,Abroad,3613680,8,203.2
Kevin Durant,Brooklyn Nets,PF,32,6,240,Texas,42018900,10,208.28
Kessler Edwards,Brooklyn Nets,SF,21,6,215,Pepperdine,0,8,203.2
RaiQuan Gray,Brooklyn Nets,PF,22,6,260,Florida State,0,8,203.2
Blake Griffin,Brooklyn Nets,PF,32,6,250,Oklahoma,1669178,9,205.74
James Harden,Brooklyn Nets,SG,32,6,220,Arizona State,44310840,5,195.58
Joe Harris,Brooklyn Nets,SF,30,6,220,Virginia,17357143,6,198.12
Kyrie Irving,Brooklyn Nets,PG,29,6,195,Duke,35328700,2,187.96
